question;xai method;feature
What elements must stay the same to keep the prediction at the same class?;anchor;
Which aspects need to remain unchanged for the prediction to stay at the same class?;anchor;
Can you identify the critical factors that ensure the prediction remains at the same class?;anchor;
What specific variables should not change to keep the prediction at the same class?;anchor;
Which features must be constant to maintain the prediction of the same class?;anchor;
What conditions need to be maintained to keep the prediction at the same class?;anchor;
Which set of attributes is crucial to ensure that the prediction remains at the same class?;anchor;
What are the essential factors that need to stay fixed to keep the prediction at the same class?;anchor;
Can you specify the factors that must not change to keep the prediction at the same class?;anchor;
What minimal configuration of features is necessary to ensure the prediction stays at the same class?;anchor;
What factors guarantee the prediction for the same class stays the same?;anchor;
What must remain unchanged for the prediction to stay at the same class?;anchor;
Can you tell me which conditions lock the prediction for the same class?;anchor;
What features are essential to maintain the current prediction of the same class?;anchor;
Which variables, if fixed, would keep the prediction at the same class?;anchor;
What minimal set of feature values ensures the prediction stays at the same class?;anchor;
What conditions guarantee no change in the current prediction?;anchor;
Which factors should remain constant to maintain the prediction for the same class?;anchor;
What key elements need to stay unchanged to keep the prediction at the same class?;anchor;
Which main factors must stay the same to ensure the prediction remains at the same class?;anchor;
What changes would make the prediction different?;counterfactualAnyChange;
What needs to be different for the prediction to change?;counterfactualAnyChange;
How can the prediction be changed to another class?;counterfactualAnyChange;
What adjustments would lead to a different prediction?;counterfactualAnyChange;
Which factors, if altered, would change the prediction?;counterfactualAnyChange;
What needs to be modified to get a different prediction?;counterfactualAnyChange;
How can I change the prediction to a different outcome?;counterfactualAnyChange;
What needs to be different to change the prediction?;counterfactualAnyChange;
What alterations would result in a different prediction?;counterfactualAnyChange;
Which variables must change to alter the prediction?;counterfactualAnyChange;
What changes would lead to a new prediction?;counterfactualAnyChange;
What needs to be done to shift the prediction to another class?;counterfactualAnyChange;
How can the current prediction be changed?;counterfactualAnyChange;
What should be different to change the prediction outcome?;counterfactualAnyChange;
What factors must be altered to get a new prediction?;counterfactualAnyChange;
What adjustments can change the prediction to another class?;counterfactualAnyChange;
Which changes would result in a different prediction outcome?;counterfactualAnyChange;
How can the outcome of the prediction be changed?;counterfactualAnyChange;
What changes are needed for the prediction to be different?;counterfactualAnyChange;
What must be altered to shift the prediction to a different class?;counterfactualAnyChange;
What are the top 3 factors influencing the prediction?;top3Features;
Which 3 features most affect the prediction?;top3Features;
What are the main 3 elements driving the prediction?;top3Features;
Which top 3 aspects impact the prediction the most?;top3Features;
What are the three key factors in this prediction?;top3Features;
What are the top 3 reasons for this prediction?;top3Features;
What are the three main features influencing the prediction?;top3Features;
Which 3 variables have the greatest impact on the prediction?;top3Features;
What are the top 3 reasons behind the prediction?;top3Features;
Which three factors are most important for the prediction?;top3Features;
What are the 3 key features that affect the prediction?;top3Features;
Which 3 elements are the most significant in the prediction?;top3Features;
What are the top three features that determine the prediction?;top3Features;
Which top three aspects are influencing the prediction?;top3Features;
What are the top 3 attributes driving the prediction?;top3Features;
Which three features most contribute to the prediction?;top3Features;
What are the three most important factors for the prediction?;top3Features;
Which 3 factors play the biggest role in the prediction?;top3Features;
What are the top three reasons for this prediction?;top3Features;
Which three variables are key to the prediction?;top3Features;
What are the 3 least important factors influencing the prediction?;least3Features;
Which 3 features have the least impact on the prediction?;least3Features;
What are the three minor elements driving the prediction?;least3Features;
Which 3 aspects impact the prediction the least?;least3Features;
What are the three least significant factors in this prediction?;least3Features;
What are the bottom 3 reasons for this prediction?;least3Features;
What are the three least influential features in the prediction?;least3Features;
Which 3 variables have the smallest impact on the prediction?;least3Features;
What are the 3 least important reasons behind the prediction?;least3Features;
Which three factors are the least important for the prediction?;least3Features;
What are the 3 minor features that affect the prediction?;least3Features;
Which 3 elements are the least significant in the prediction?;least3Features;
What are the three least influential features determining the prediction?;least3Features;
Which three aspects are influencing the prediction the least?;least3Features;
What are the bottom three attributes driving the prediction?;least3Features;
Which three features contribute the least to the prediction?;least3Features;
What are the three least important factors for the prediction?;least3Features;
Which 3 factors play the smallest role in the prediction?;least3Features;
What are the bottom three reasons for this prediction?;least3Features;
Which three variables are the least influential to the prediction?;least3Features;
How does each feature contribute to the prediction?;shapAllFeatures;
Can you explain the impact of each feature on the prediction?;shapAllFeatures;
What role does each feature play in the prediction?;shapAllFeatures;
What is the contribution of each feature to the prediction?;shapAllFeatures;
How does every feature affect the prediction?;shapAllFeatures;
Can you show the influence of each feature on the prediction?;shapAllFeatures;
How much does each feature impact the prediction?;shapAllFeatures;
What is the effect of each feature on the prediction?;shapAllFeatures;
How does each feature influence the prediction?;shapAllFeatures;
Can you explain how each feature contributes to the prediction?;shapAllFeatures;
What is the importance of each feature in the prediction?;shapAllFeatures;
How does each feature play a part in the prediction?;shapAllFeatures;
What is the role of every feature in the prediction?;shapAllFeatures;
